aimag,sum_name
Сүхбаатар,Эрдэнэцагаан
Сэлэнгэ,Сүхбаатар
Сэлэнгэ,Алтанбулаг
Сэлэнгэ,Баруунбүрэн
Сэлэнгэ,Баянгол
Сэлэнгэ,Ерөө
Сэлэнгэ,Жавхлант
Сэлэнгэ,Зүүнбүрэн
Сэлэнгэ,Мандал
Сэлэнгэ,Орхон
Сэлэнгэ,Орхонтуул
Сэлэнгэ,Сайхан
Сэлэнгэ,Сант
Сэлэнгэ,Түшиг
Сэлэнгэ,Хүдэр
Сэлэнгэ,Хушаат
Сэлэнгэ,Цагааннуур
Сэлэнгэ,Шаамар
Төв,Зуунмод
Төв,Алтанбулаг
Төв,Аргалант
Төв,Архуст
Төв,Батсүмбэр
Төв,Баян
Төв,Баян-Өнжүүл
Төв,Баянцагаан
Төв,Баянцогт
Төв,Баянчандмань
Төв,Баяндэлгэр
Төв,Баянжаргалан
Төв,Борнуур
Төв,Бүрэн
Төв,Дэлгэрхаан
Төв,Жаргалант
Төв,Заамар
Төв,Лүн
Төв,Мөнгөнморьт
Төв,Өндөрширээт
Төв,Сэргэлэн
Төв,Сүмбэр
Төв,Угтаалцайдам
Төв,Цээл
Төв,Эрдэнэ
Төв,Эрдэнэсант
Увс,Улаангом
Увс,Баруунтуруун
Увс,Бөхмөрөн
Увс,Давст
Увс,Завхан
Увс,Зүүнговь
Увс,Зүүнхангай
Увс,Малчин
Увс,Наранбулаг
Увс,Өлгий
Увс,Өмнөговь
Увс,Өндөрхангай
Увс,Сагил
Увс,Тариалан
Увс,Тэс
Увс,Түргэн
Увс,Хяргас
Увс,Цагаанхайрхан
Увс,Ховд
Ховд,Жаргалант
Ховд,Алтай
Ховд,Булган
Ховд,Буянт
Ховд,Дарви
Ховд,Дөргөн
Ховд,Дуут
Ховд,Зэрэг
Ховд,Манхан
Ховд,Мөнххайрхан
Ховд,Мөст
Ховд,Мянгад
Ховд,Үенч
Ховд,Ховд
Ховд,Чандмань
Ховд,Цэцэг
Ховд,Эрдэнэбүрэн
Хөвсгөл,Мөрөн
Хөвсгөл,Алаг-Эрдэнэ
Хөвсгөл,Арбулаг
Хөвсгөл,Баянзүрх
Хөвсгөл,Бүрэнтогтох
Хөвсгөл,Галт
Хөвсгөл,Жаргалант
Хөвсгөл,Их-Уул
Хөвсгөл,Рашаант
Хөвсгөл,Рэнчинлхүмбэ
Хөвсгөл,Тариалан
Хөвсгөл,Тосонцэнгэл
Хөвсгөл,Төмөрбулаг
Хөвсгөл,Түнэл
Хөвсгөл,Улаан-Уул
Хөвсгөл,Ханх
Хөвсгөл,Цагаан-Уул
Хөвсгөл,Цагаан-Үүр
Хөвсгөл,Цагааннуур
Хөвсгөл,Чандмань-Өндөр
Хөвсгөл,Шинэ-Идэр
Хөвсгөл,Эрдэнэбулган
Хөвсгөл,Цэцэрлэг
Хэнтий,Хэрлэн
Хэнтий,Батноров
Хэнтий,Батширээт
Хэнтий,Баян-Адарга
Хэнтий,Баянмөнх
Хэнтий,Баян-Овоо
Хэнтий,Баянхутаг
Хэнтий,Биндэр
Хэнтий,Галшар
Хэнтий,Дадал
Хэнтий,Дархан
Хэнтий,Дэлгэрхаан
Хэнтий,Жаргалтхаан
Хэнтий,Мөрөн
Хэнтий,Норовлин
Хэнтий,Өмнөдэлгэр
Хэнтий,Цэнхэрмандал
Хэнтий,Бор-Өндөр
