aimag,station_nam,index,lat,lon,hhh
Өвөрхангай,Төгрөг,332,45.53913889,102.9992778,1390.0
Өвөрхангай,Хархорин,330,47.19483333,102.8297222,1480.0
Өвөрхангай,Хужирт,285,46.89977778,102.77875,1650.0
Өвөрхангай,Уянга,719,46.46255278,102.284075,1980.0
Өвөрхангай,Бүрд,710,46.98366944,103.7929306,1460.0
Өвөрхангай,Зүүнбаян-Улаан,713,46.52593889,102.5933972,1882.0
Өвөрхангай,Хайрхандулаан,720,45.96165,102.0559361,1850.0
Өвөрхангай,Баруунхайрхан,715,46.61340278,103.5473667,1628.0
Өвөрхангай,Зүйл,712,46.761575,103.5130083,1750.0
Өвөрхангай,Нарийнтээл,714,45.96085833,101.4533472,1820.0
Өвөрхангай,Гучин-Ус,711,45.46299722,102.4246944,1475.0
Өвөрхангай,Бат-Өлзий,707,46.81335833,102.2420806,1670.0
Өвөрхангай,Сант,716,46.09484444,103.8390389,1500.0
Өвөрхангай,Баянгол,708,45.8073,103.4453556,1430.0
Өмнөговь,Даланзадгад,373,43.57722222,104.4180556,1470.0
Өмнөговь,Гурвантэс,374,43.23105556,101.0425,1725.0
Өмнөговь,Цогт-Овоо,347,44.42319444,105.3168111,1298.0
Өмнөговь,Ханбогд,385,43.19575,107.1935278,1114.0
Өмнөговь,Сайхан,339,44.09611111,103.5369167,1320.0
Өмнөговь,Манлай,382,44.08175,106.8656389,1298.0
Сүхбаатар,Дарьганга,356,45.30352778,113.84425,1246.0
Сүхбаатар,Эрдэнэцагаан,317,45.92879444,115.37615,1070.0
Сүхбаатар,Баруун-Урт,305,46.67133333,113.28,976.0
Сүхбаатар,Баяндэлгэр,352,45.72575,112.3590333,1108.0
Сэлэнгэ,Сүхбаатар,240,50.24300833,106.1727333,628.0
Сэлэнгэ,Баруунхараа,241,48.91319444,106.0896028,808.0
Сэлэнгэ,Ерөө,243,49.74916667,106.6610861,675.0
Сэлэнгэ,Зүүнхараа,253,48.86049167,106.4430944,883.0
Сэлэнгэ,Орхон,242,49.14362778,105.4021333,753.0
Төв,Заамар,805,48.08544444,104.8064139,1163.0
Сэлэнгэ,Цагааннуур,209,50.11059444,105.4518833,785.0
Сэлэнгэ,Бугант,783,49.42071667,107.2794806,794.0
Төв,Зуунмод,290,47.70771944,106.9346417,1549.0
Төв,Лүн,297,47.86680556,105.251,1012.0
Төв,Мааньт,294,47.25675,107.5379167,1426.0
Төв,Угтаал,247,48.25836111,105.4049167,1143.0
Төв,Мөнгөнморьт,250,48.20641667,108.4861111,1429.0
Төв,Баянчандмань,246,48.2275,106.2841944,1257.0
Төв,Жаргалант,252,48.52669444,105.8806111,1007.0
Төв,Бүрэн,340,46.91747222,105.0470833,1274.0
Төв,Алтанбулаг,370,47.69483333,106.4095833,1215.0
Төв,Эрдэнэсант,286,47.33358333,104.4929167,1358.0
Төв,Баян-Өнжүүл,344,47.04061111,105.9541111,1213.0
Төв,Нөхөрлөл,810,47.94692778,105.8984333,1236.0
Төв,Борнуур,801,48.48755278,106.2620111,1022.0
Төв,Батсүмбэр,794,48.36437778,106.7286333,1169.0
Төв,Заамар,805,48.23616944,104.7696778,1163.0
Төв,Өндөрширээт,807,47.448875,105.0549528,1040.0
Төв,Залуучууд,793,48.44981389,105.3194306,1059.0
Төв,Баянцагаан,799,46.79470833,107.14455,1357.0
Төв,Баянжаргалан,796,47.17856667,108.2567083,1375.0
Төв,Эрдэнэ,811,47.71383611,107.7918472,1574.0
Төв,Дэлгэрхаан,803,46.64180278,104.5635389,1552.0
Увс,Улаангом,212,49.97145,92.07781389,939.0
Увс,Баруунтуруун,213,49.65850278,94.40407222,1232.0
Увс,Тэс,211,50.47844444,93.59947222,799.0
Увс,Хар-Ус,215,49.10478889,91.726175,1588.0
Увс,Өндөрхангай,191,49.26808333,94.85891667,1859.0
Увс,Малчин,201,49.82398611,93.09822778,1396.0
Увс,Наранбулаг,199,49.38372222,92.58205556,1140.0
Увс,Малчин,201,49.72886111,93.270225,1396.0
Увс,Хар толгой,838,49.28181944,90.91183611,1200.0
Ховд,Зэрэг,264,47.10811944,92.83731111,1152.0
Ховд,Манхан,361,47.41953333,92.22396667,1361.0
Ховд,Мөст,267,46.6919,92.79828889,2060.0
Ховд,Ховд,218,47.99590556,91.63236667,1405.0
Ховд,Чандмань,269,47.66419167,92.81251667,1642.0
Ховд,Байтаг,265,46.094725,91.55232222,1188.0
Ховд,Цэцэг,271,46.59061944,93.27213889,1720.0
Ховд,Манхан,361,47.06533333,91.85262778,1361.0
Ховд,Дунд-Ус,364,48.12628056,91.37336389,1710.0
Хөвсгөл,Мөрөн,231,49.63880556,100.1694444,1288.0
Хөвсгөл,Рашаант,223,49.12116667,101.4560833,1384.0
Хөвсгөл,Рэнчинлхүмбэ,203,51.11422222,99.66683611,1582.0
Хөвсгөл,Тариалан,230,49.60930556,101.9847222,1217.0
Хөвсгөл,Баянзүрх,206,50.17902778,98.97583333,1632.0
Хөвсгөл,Хатгал,207,50.43858333,100.1520278,1666.0
Хөвсгөл,Чандагат,222,49.52207222,97.73443333,1745.0
Хөвсгөл,Жаргалан,238,48.58033333,99.34761111,1577.0
Хөвсгөл,Цагаан-Уул,889,49.60315833,98.69404444,1828.0
Хөвсгөл,Шинэ-Идэр,234,48.95022222,99.53480556,1700.0
Хөвсгөл,Цагаан-Үүр,208,50.54308,101.514993,1139.0
