№,Төрөл,Харуулын нэрс,Сум_Аймаг_Хот,Өргөрөг,Уртраг
82,Гол,Онги - Сайхан-Овоо,Дундговь,47.45009167,103.8834722
83,Гол,Таац - Нарийнтээл,Өвөрхангай,45.96785,101.4674389
84,Гол,Түйн - Баянхонгор,Баянхонгор,46.19796389,100.0973722
85,Гол,Түйн - Богд,Баянхонгор,45.19978611,100.7794972
86,Гол,Шаргалжуут - Шаргалзуут,Баянхонгор,46.343621,101.230654
87,Гол,Байдраг - Байдраг,Баянхонгор,47.17907222,99.65070834
88,Гол,Байдраг - Баянбүрд,Баянхонгор,46.17659444,99.26394167
89,Гол,Заг - Заг,Баянхонгор,46.94527778,99.17027778
90,Гол,Цагаантуруут - Галуут,Баянхонгор,46.8325,100.0727778
91,Гол,Буянт - Отгон,Завхан,47.30115278,97.66581945
92,Гол,Завхан - Гуулин,Говь-Алтай,46.59227222,97.27181945
93,Гол,Завхан - Тайшир,Говь-Алтай,46.71081111,96.551275
94,Гол,Завхан - Дөрвөлжин,Завхан,47.65316944,94.98523889
95,Гол,Шар-Ус - Гурванбулаг,Баянхонгор,47.235,98.565
96,Гол,Богд - Улиастай,Завхан,47.74752778,96.86255556
97,Гол,Чигэстэй - Улиастай,Завхан,47.72991111,96.862825
98,Гол,Тээл - Дөрвөлжин,Завхан,48.27305833,93.47647778
99,Гол,Хүнгүй - Ургамал,Завхан,48.52048889,94.29990555
100,Гол,Ховд - Өлгий,Баян-Өлгий,48.97875,89.94811389
101,Гол,Ховд - Баяннуур,Баян-Өлгий,48.98708889,91.10286388
102,Гол,Ховд - Мянгад,Ховд,48.23171111,91.92485
103,Гол,Чонохарайх - Дөргөн,Ховд,48.2854,93.01082778
104,Гол,Цагаан-Цэнгэл,Баян-Өлгий,49.09127778,88.51626944
105,Гол,Согоог - Хөххөтөл,Баян-Өлгий,49.24363056,88.89986389
106,Гол,Сагсай - Буянт,Баян-Өлгий,48.57806111,89.56193611
107,Гол,Харбут - Алтай,Баян-Өлгий,48.28902778,89.51218333
108,Гол,Турган - Сагсай,Баян-Өлгий,48.87386389,89.67972778
109,Гол,Буянт - Дэлүүн,Баян-Өлгий,47.83809167,90.69745
110,Гол,Буянт - Ховд,Ховд,47.651925,90.68858889
111,Гол,Чигэртэй- Дэлүүн,Баян-Өлгий,47.06583056,91.84626667
112,Гол,Ганцмод - Дэлүүн,Баян-Өлгий,47.65135833,90.688
113,Гол,Дундцэнхэр - Мөнххайрхан,Ховд,47.83814722,90.69698333
114,Гол,Төгрөг - Манхан,Ховд,47.47532222,92.23768611
115,Гол,Долооннуурын гол-Мөнххайрхан,Ховд,47.06570556,91.84628611
116,Гол,Чигж - Өндөрхангай,Увс,49.25100833,94.86589722
117,Гол,Шарга - Шарга,Говь-Алтай,46.20877778,95.298575
118,Гол,Зүйл - Тонхил,Говь-Алтай,46.31910833,93.90437222
119,Гол,Хархираа - Тариалан,Увс,49.77980556,91.85976111
120,Гол,Түргэн - Түргэн,Увс,50.07745556,91.605025
121,Гол,Боршоо - Боршоо,Увс,50.53465556,91.79770555
122,Гол,Тэс - Баян-Уул,Завхан,49.74215278,96.44048611
123,Гол,Баруунтуруун - Баруунтуруун,Увс,49.58728056,94.38852222
124,Гол,Намир - Өмнөговь,Увс,49.11165278,91.7097
125,Гол,Хариг - Хариг,Увс,50.24082778,90.75701944
126,Гол,Бодонч - Алтай,Ховд,46.04104722,92.53925278
127,Гол,Үенч - Үенч,Ховд,46.11438611,92.04867222
128,Гол,Булган - Булган,Ховд,46.93304722,91.08313333
129,Гол,Булган - Байтаг,Ховд,46.120875,91.56425
130,Нуур,Хөвсгөл - Хатгал,Хөвсгөл,50.47416667,100.1724389
131,Нуур,Хөвсгөл - Ханх,Хөвсгөл,51.50129722,100.6605444
132,Нуур,Буйр - Загасны үйлдвэр,Дорнод,47.897525,117.8662944
