aimag_name;sum_name;location_type;name;lat;lon;elevation_m;notes
Дорнод;;HYDRO;Улз - Дашбалбар;49.56385556;114.3906361;;Гол
Дорнод;;HYDRO;Улз - Эрээнцав;49.87973889;115.6999222;;Гол
Төв;;HYDRO;Хэрлэн - Хонгон;48.429575;108.79955;;Гол
Төв;;HYDRO;Хэрлэн - Мөнгөнморьт;48.19453056;108.6380306;;Гол
Улаанбаатар;;HYDRO;Хэрлэн - Багануур;47.68980833;108.4666361;;Гол
Хэнтий;;HYDRO;Хэрлэн - Өндөрхаан;47.31185833;110.6664056;;Гол
Дорнод;;HYDRO;Хэрлэн - Чойбалсан;48.06001389;114.5301611;;Гол
Дорнод;;HYDRO;Халх - Сүмбэр;47.62088889;118.6669194;;Гол
Дорнод;;HYDRO;Халх - Баянхошуу;48.04061111;118.2239722;;Гол
Өвөрхангай;;HYDRO;Онги - Уянга;46.46246111;102.3005;;Гол
Өвөрхангай;;HYDRO;Онги - Арвайхээр;46.28333333;102.9007472;;Гол
Дундговь;;HYDRO;Онги - Сайхан-Овоо;47.45009167;103.8834722;;Гол
Өвөрхангай;;HYDRO;Таац - Нарийнтээл;45.96785;101.4674389;;Гол
Баянхонгор;;HYDRO;Түйн - Баянхонгор;46.19796389;100.0973722;;Гол
Баянхонгор;;HYDRO;Түйн - Богд;45.19978611;100.7794972;;Гол
Баянхонгор;;HYDRO;Шаргалжуут - Шаргалзуут;46.343621;101.230654;;Гол
Баянхонгор;;HYDRO;Байдраг - Байдраг;47.17907222;99.65070834;;Гол
Баянхонгор;;HYDRO;Байдраг - Баянбүрд;46.17659444;99.26394167;;Гол
Баянхонгор;;HYDRO;Заг - Заг;46.94527778;99.17027778;;Гол
Баянхонгор;;HYDRO;Цагаантуруут - Галуут;46.8325;100.0727778;;Гол
Завхан;;HYDRO;Буянт - Отгон;47.30115278;97.66581945;;Гол
Говь-Алтай;;HYDRO;Завхан - Гуулин;46.59227222;97.27181945;;Гол
Говь-Алтай;;HYDRO;Завхан - Тайшир;46.71081111;96.551275;;Гол
Завхан;;HYDRO;Завхан - Дөрвөлжин;47.65316944;94.98523889;;Гол
Баянхонгор;;HYDRO;Шар-Ус - Гурванбулаг;47.235;98.565;;Гол
Завхан;;HYDRO;Богд - Улиастай;47.74752778;96.86255556;;Гол
Завхан;;HYDRO;Чигэстэй - Улиастай;47.72991111;96.862825;;Гол
Завхан;;HYDRO;Тээл - Дөрвөлжин;48.27305833;93.47647778;;Гол
Завхан;;HYDRO;Хүнгүй - Ургамал;48.52048889;94.29990555;;Гол
Баян-Өлгий;;HYDRO;Ховд - Өлгий;48.97875;89.94811389;;Гол
Баян-Өлгий;;HYDRO;Ховд - Баяннуур;48.98708889;91.10286388;;Гол
Ховд;;HYDRO;Ховд - Мянгад;48.23171111;91.92485;;Гол
Ховд;;HYDRO;Чонохарайх - Дөргөн;48.2854;93.01082778;;Гол
Баян-Өлгий;;HYDRO;Цагаан-Цэнгэл;49.09127778;88.51626944;;Гол
Баян-Өлгий;;HYDRO;Согоог - Хөххөтөл;49.24363056;88.89986389;;Гол
Баян-Өлгий;;HYDRO;Сагсай - Буянт;48.57806111;89.56193611;;Гол
Баян-Өлгий;;HYDRO;Харбут - Алтай;48.28902778;89.51218333;;Гол
Баян-Өлгий;;HYDRO;Турган - Сагсай;48.87386389;89.67972778;;Гол
Баян-Өлгий;;HYDRO;Буянт - Дэлүүн;47.83809167;90.69745;;Гол
Ховд;;HYDRO;Буянт - Ховд;47.651925;90.68858889;;Гол
Баян-Өлгий;;HYDRO;Чигэртэй- Дэлүүн;47.06583056;91.84626667;;Гол
Баян-Өлгий;;HYDRO;Ганцмод - Дэлүүн;47.65135833;90.688;;Гол
Ховд;;HYDRO;Дундцэнхэр - Мөнххайрхан;47.83814722;90.69698333;;Гол
Ховд;;HYDRO;Төгрөг - Манхан;47.47532222;92.23768611;;Гол
Ховд;;HYDRO;Долооннуурын гол-Мөнххайрхан;47.06570556;91.84628611;;Гол
Увс;;HYDRO;Чигж - Өндөрхангай;49.25100833;94.86589722;;Гол
Говь-Алтай;;HYDRO;Шарга - Шарга;46.20877778;95.298575;;Гол
Говь-Алтай;;HYDRO;Зүйл - Тонхил;46.31910833;93.90437222;;Гол
Увс;;HYDRO;Хархираа - Тариалан;49.77980556;91.85976111;;Гол
Увс;;HYDRO;Түргэн - Түргэн;50.07745556;91.605025;;Гол
Увс;;HYDRO;Боршоо - Боршоо;50.53465556;91.79770555;;Гол
Завхан;;HYDRO;Тэс - Баян-Уул;49.74215278;96.44048611;;Гол
Увс;;HYDRO;Баруунтуруун - Баруунтуруун;49.58728056;94.38852222;;Гол
Увс;;HYDRO;Намир - Өмнөговь;49.11165278;91.7097;;Гол
Увс;;HYDRO;Хариг - Хариг;50.24082778;90.75701944;;Гол
Ховд;;HYDRO;Бодонч - Алтай;46.04104722;92.53925278;;Гол
Ховд;;HYDRO;Үенч - Үенч;46.11438611;92.04867222;;Гол
Ховд;;HYDRO;Булган - Булган;46.93304722;91.08313333;;Гол
Ховд;;HYDRO;Булган - Байтаг;46.120875;91.56425;;Гол
Хөвсгөл;;HYDRO;Хөвсгөл - Хатгал;50.47416667;100.1724389;;Нуур
Хөвсгөл;;HYDRO;Хөвсгөл - Ханх;51.50129722;100.6605444;;Нуур
Дорнод;;HYDRO;Буйр - Загасны үйлдвэр;47.897525;117.8662944;;Нуур
Ховд;;HYDRO;Хар Ус - Дөргөн;49.09755;91.97541944;;Нуур
Увс;;HYDRO;Хяргас - Хартэрмэс;49.31706111;93.16395278;;Нуур
Увс;;HYDRO;Увс - Давст;50.53066167;92.471745;;Нуур
Архангай;;HYDRO;Тэрхийн Цагаан - Тариат;47.75907778;102.8090806;;Нуур
Баянхонгор;;HYDRO;Бөөнцагаан - Баацагаан;45.61575;99.24155278;;Нуур
Баянхонгор;;HYDRO;Орог - Богд;45.06896944;100.664175;;Нуур
Баянхонгор;;HYDRO;Хөх - Гурванбулаг;47.4752;98.56958056;;Нуур
Сүхбаатар;;HYDRO;Ганга - Дарьганга;45.30415556;113.8128111;;Нуур
Сүхбаатар;;HYDRO;Дуут - Дарьганга;45.39113889;113.8961528;;Нуур
Булган;;HYDRO;Харгал - Тэшиг;49.90766111;102.7377222;;Нуур
Өвөрхангай;;HYDRO;Өгий - Өгийнуур;48.144025;99.79745833;;Нуур
Дорнод;;HYDRO;Хөх нуур - 37 дугаар зөрлөг;49.54915278;115.612275;;Нуур
Завхан;;HYDRO;Хар нуур - Дөрвөлжин;48.04053333;93.28334722;;Нуур
Говь-Алтай;;HYDRO;Тайгам - Дэлгэр;46.38369444;97.41685834;;Нуур
Завхан;;HYDRO;Ойгон - Түдэвтэй;49.20681944;96.64613889;;Нуур
