Аймаг;№;Сумын нэр;Өртөө/Харуулын нэр;Өргөрөг;Уртраг;Өндөр
ДОРНОД;6;Гурванзагал;Гурванзагал;49.14508;114.87575;711.57
ДОРНОД;7;Баянтүмэн;Баянтүмэн;48.05375;114.36047;756.01
ДОРНОД;8;Сэргэлэн;Сэргэлэн;48.51008;114.02248;759.01
ДОРНОД;9;Баяндун;Баяндун;49.24637;113.36979;947.23
ДОРНОД;10;Чулуунхороот;Эрээнцав;49.86677;115.70074;616.45
ДОРНОД;11;Булган;Булган;47.99972;113.92802;788.0
ДОРНОД;12;Халхгол;Халхгол;47.98791;118.10931;607.0
ДОРНОД;13;Цагаан-Овоо;Цагаан-Овоо;48.56809;113.2369;862.21
ДОРНОД;14;Хөлөнбуйр;Хөлөнбуйр;47.92366;112.95439;856.24
ДОРНОД;15;Хэрлэн;Хэрлэн;48.08123;114.53752;746.0
ДОРНОГОВЬ;1;Дэлгэрэх;Дэлгэрэх;45.79554;111.21071;1065.19
ДОРНОГОВЬ;2;Хөвсгөл;Хөвсгөл;43.60447;109.63622;994.68
ДОРНОГОВЬ;3;Мандах;Мандах;44.40162;108.24948;1307.12
ДОРНОГОВЬ;4;Сайншанд;Сайншанд;44.87796;110.11932;937.0
ДОРНОГОВЬ;5;Эрдэнэ;Улаан-Уул;44.4439;111.08614;992.25
ДОРНОГОВЬ;6;Замын-Үүд;Замын-Үүд;43.71375;111.90422;963.35
ДОРНОГОВЬ;7;Иххэт;Иххэт;46.38213;110.09716;1204.0
ДОРНОГОВЬ;8;Алтанширээ;Алтанширээ;45.54484;110.46893;969.0
ДОРНОГОВЬ;9;Айраг;Айраг;45.8013;109.31747;1055.0
ДОРНОГОВЬ;10;Сайхандулаан;Сайхандулаан;44.69405;109.01676;1261.0
ДОРНОГОВЬ;11;Улаанбадрах;Улаанбадрах;43.875;110.42566;990.53
ДОРНОГОВЬ;12;Хатанбулаг;Хатанбулаг;43.15632;109.1437;1135.0
ДОРНОГОВЬ;13;Өргөн;Өргөн;44.73034;110.78223;981.25
ДУНДГОВЬ;1;Эрдэнэдалай;Эрдэнэдалай;45.99882;104.93827;1377.4
ДУНДГОВЬ;2;Говь-Угтаал;Говь-Угтаал;46.04912;107.48359;1483.52
ДУНДГОВЬ;3;Гурвансайхан;Гурвансайхан;45.5283;107.04603;1165.32
ДУНДГОВЬ;4;Сайншанд;Мандалговь;45.74311;106.26469;1394.28
ДУНДГОВЬ;5;Сайхан-Овоо;Сайхан-Овоо;45.46098;103.90045;1316.41
ДУНДГОВЬ;6;Цагаандэлгэр;Цагаандэлгэр;46.40536;107.63734;1363.98
ДУНДГОВЬ;7;Адаацаг;Адаацаг;46.38408;105.73796;1474.23
ДУНДГОВЬ;8;Өндөршил;Өндөршил;45.23252;108.27933;1175.9
ДУНДГОВЬ;9;Дэрэн;Дэрэн;46.2087;106.71472;1292.26
ДУНДГОВЬ;10;Дэлгэрхангай;Дэлгэрхангай;45.2387;104.79835;1472.34
ДУНДГОВЬ;11;Хулд;Хулд;45.22571;105.55292;1335.08
ДУНДГОВЬ;12;Баянжаргалан;Баянжаргалан;45.75676;108.00037;1240.86
ДУНДГОВЬ;13;Луус;Луус;45.51166;105.75199;1442.56
ДУНДГОВЬ;14;Өлзийт;Өлзийт;44.93909;106.31996;1244.6
ГОВЬ-АЛТАЙ;1;Алтай;Ажбогд;44.61926;94.92364;1443.21
ГОВЬ-АЛТАЙ;2;Есөнбулаг;Алтай;46.37642;96.23858;2177.44
ГОВЬ-АЛТАЙ;3;Бугат;Бугат;45.5601;94.36175;2143.8
ГОВЬ-АЛТАЙ;4;Хөхморьт;Хөхморьт;47.35583;94.52306;1444.7
ГОВЬ-АЛТАЙ;5;Тонхил;Тонхил;46.31308;93.9021;2222.5
ГОВЬ-АЛТАЙ;6;Цогт;Тоорой;44.92428;96.75364;1181.6
ГОВЬ-АЛТАЙ;7;Дэлгэр;Дэлгэр;46.35338;97.36395;1799.6
ГОВЬ-АЛТАЙ;8;Шарга;Шарга;46.2709;95.26751;1025.07
ГОВЬ-АЛТАЙ;9;Жаргалан;Жаргалан;46.98422;95.92112;1538.59
ГОВЬ-АЛТАЙ;10;Дэлгэр;Гуулин;46.56913;97.29348;1836.5
ГОВЬ-АЛТАЙ;11;Баян-Уул;Баян-Уул;46.99882;95.20107;1847.0
ГОВЬ-АЛТАЙ;12;Чандмань;Чандмань;45.33115;97.98914;2289.65
ГОВЬ-АЛТАЙ;13;Дарви;Дарви;46.45811;94.10976;1610.63
ГОВЬ-АЛТАЙ;14;Цогт;Цогт;45.35551;96.63587;2329.91
ГОВЬ-АЛТАЙ;15;Эрдэнэ;Эрдэнэ;45.16442;97.70118;2451.0
ГОВЬ-АЛТАЙ;16;Төгрөг;Төгрөг;45.83117;94.80602;1704.5
ГОВЬ-АЛТАЙ;17;Цахир;Цахир;46.71516;96.52168;1643.8
ГОВЬ-АЛТАЙ;18;Цээл;Цээл;45.56882;95.87332;2083.67
ГОВЬ-АЛТАЙ;19;Халиун;Халиун;45.9276;96.15858;1447.3
ГОВЬ-АЛТАЙ;20;Бигэр;Бигэр;45.7099;97.16753;1359.6
ӨМНӨГОВЬ;1;Даланзадгад;Даланзадгад;43.57713;104.41868;1467.47
ӨМНӨГОВЬ;2;Гурвантэс;Гурвантэс;43.23086;101.04282;1726.32
ӨМНӨГОВЬ;3;Ханбогд;Ханбогд;43.19569;107.19372;1114.55
ӨМНӨГОВЬ;4;Манлай;Манлай;44.08163;106.86556;1303.53
ӨМНӨГОВЬ;5;Булган;Булган;44.09596;103.53794;1301.34
ӨМНӨГОВЬ;6;Цогт-Овоо;Цогт-Овоо;43.73159;105.5759;1488.9
ӨМНӨГОВЬ;7;Хүрмэн;Хүрмэн;43.3085;104.07007;1827.22
ӨМНӨГОВЬ;8;Цогтцэций;Цогтцэций;43.73159;105.5759;1489.09
ӨМНӨГОВЬ;9;Ноён;Ноён;43.14827;102.13109;1870.09
ӨМНӨГОВЬ;10;Баян-Овоо;Баян-Овоо;42.97218;106.12457;1188.82
ӨМНӨГОВЬ;11;Баяндалай;Баяндалай;43.4685;103.50841;1558.71
ӨМНӨГОВЬ;12;Сэврэй;Сэврэй;43.59013;102.18148;1706.84
ӨМНӨГОВЬ;13;Номгон;Номгон;42.84088;105.13122;1492.35
ӨМНӨГОВЬ;14;Мандал-Овоо;Мандал-Овоо;44.65631;104.05681;1081.97
ОРХОН;1;Баян-Өндөр;Erdenet-Ovoo;49.03659;104.08588;1301.49
ОРХОН;2;Жаргалант;Улаантолгой;49.06639;104.41361;1056.0
ӨВӨРХАНГАЙ;1;Арвайхээр;Арвайхээр;46.25904;102.78931;1812.77
ӨВӨРХАНГАЙ;2;Баруунбаян-Улаан;Баруунбаян-Улаан;45.17838;101.41286;1257.99
ӨВӨРХАНГАЙ;3;Баян-Өндөр;Баян-Өндөр;46.49829;104.11224;1626.41
ӨВӨРХАНГАЙ;4;Богд;Богд;44.67458;102.17675;1519.0
ӨВӨРХАНГАЙ;5;Хархорин;Хархорин;47.19471;102.82974;1475.48
ӨВӨРХАНГАЙ;6;Хужирт;Хужирт;46.89971;102.77879;1661.67
ӨВӨРХАНГАЙ;7;Төгрөг;Terper;45.53904;102.99907;1408.5
ӨВӨРХАНГАЙ;8;Есөнзүйл;Есөнзүйл;46.76166;103.51313;1740.5
ӨВӨРХАНГАЙ;9;Бат-Өлзий;Бат-Өлзий;46.81341;102.24223;1695.91
ӨВӨРХАНГАЙ;10;Баянгол;Баянгол;45.80737;103.44555;1459.0
