aimag_name;sum_name;location_type;name;lat;lon;elevation_m;notes
ДАРХАН-УУЛ;Шарынгол;WEATHER;Шаазгайт;49.24497;106.41126;917.66;
ДАРХАН-УУЛ;Орхон;WEATHER;Шарынгол;49.84675;106.14983;640.83;
ДАРХАН-УУЛ;Хонгор;WEATHER;Хонгор;49.30897;105.9239;722.06;
ДОРНОД;Чойбалсан;WEATHER;Чойбалсан;48.0812;114.5375;746.0;
ДОРНОД;Дашбалбар;WEATHER;Дашбалбар;49.55091;114.40425;706.65;
ДОРНОД;Халхгол/Сүмбэр;WEATHER;Халхгол;47.63015;118.62209;687.27;
ДОРНОД;Матад;WEATHER;Матад;46.95508;115.29636;903.24;
ДОРНОД;Баян-Уул;WEATHER;Onon;49.11418;112.65807;893.0;
ДОРНОД;Гурванзагал;WEATHER;Гурванзагал;49.14508;114.87575;711.57;
ДОРНОД;Баянтүмэн;WEATHER;Баянтүмэн;48.05375;114.36047;756.01;
ДОРНОД;Сэргэлэн;WEATHER;Сэргэлэн;48.51008;114.02248;759.01;
ДОРНОД;Баяндун;WEATHER;Баяндун;49.24637;113.36979;947.23;
ДОРНОД;Чулуунхороот;WEATHER;Эрээнцав;49.86677;115.70074;616.45;
ДОРНОД;Булган;WEATHER;Булган;47.99972;113.92802;788.0;
ДОРНОД;Халхгол;WEATHER;Халхгол;47.98791;118.10931;607.0;
ДОРНОД;Цагаан-Овоо;WEATHER;Цагаан-Овоо;48.56809;113.2369;862.21;
ДОРНОД;Хөлөнбуйр;WEATHER;Хөлөнбуйр;47.92366;112.95439;856.24;
ДОРНОД;Хэрлэн;WEATHER;Хэрлэн;48.08123;114.53752;746.0;
ДОРНОГОВЬ;Дэлгэрэх;WEATHER;Дэлгэрэх;45.79554;111.21071;1065.19;
ДОРНОГОВЬ;Хөвсгөл;WEATHER;Хөвсгөл;43.60447;109.63622;994.68;
ДОРНОГОВЬ;Мандах;WEATHER;Мандах;44.40162;108.24948;1307.12;
ДОРНОГОВЬ;Сайншанд;WEATHER;Сайншанд;44.87796;110.11932;937.0;
ДОРНОГОВЬ;Эрдэнэ;WEATHER;Улаан-Уул;44.4439;111.08614;992.25;
ДОРНОГОВЬ;Замын-Үүд;WEATHER;Замын-Үүд;43.71375;111.90422;963.35;
ДОРНОГОВЬ;Иххэт;WEATHER;Иххэт;46.38213;110.09716;1204.0;
ДОРНОГОВЬ;Алтанширээ;WEATHER;Алтанширээ;45.54484;110.46893;969.0;
ДОРНОГОВЬ;Айраг;WEATHER;Айраг;45.8013;109.31747;1055.0;
ДОРНОГОВЬ;Сайхандулаан;WEATHER;Сайхандулаан;44.69405;109.01676;1261.0;
ДОРНОГОВЬ;Улаанбадрах;WEATHER;Улаанбадрах;43.875;110.42566;990.53;
ДОРНОГОВЬ;Хатанбулаг;WEATHER;Хатанбулаг;43.15632;109.1437;1135.0;
ДОРНОГОВЬ;Өргөн;WEATHER;Өргөн;44.73034;110.78223;981.25;
ДУНДГОВЬ;Эрдэнэдалай;WEATHER;Эрдэнэдалай;45.99882;104.93827;1377.4;
ДУНДГОВЬ;Говь-Угтаал;WEATHER;Говь-Угтаал;46.04912;107.48359;1483.52;
ДУНДГОВЬ;Гурвансайхан;WEATHER;Гурвансайхан;45.5283;107.04603;1165.32;
ДУНДГОВЬ;Сайншанд;WEATHER;Мандалговь;45.74311;106.26469;1394.28;
ДУНДГОВЬ;Сайхан-Овоо;WEATHER;Сайхан-Овоо;45.46098;103.90045;1316.41;
ДУНДГОВЬ;Цагаандэлгэр;WEATHER;Цагаандэлгэр;46.40536;107.63734;1363.98;
ДУНДГОВЬ;Адаацаг;WEATHER;Адаацаг;46.38408;105.73796;1474.23;
ДУНДГОВЬ;Өндөршил;WEATHER;Өндөршил;45.23252;108.27933;1175.9;
ДУНДГОВЬ;Дэрэн;WEATHER;Дэрэн;46.2087;106.71472;1292.26;
ДУНДГОВЬ;Дэлгэрхангай;WEATHER;Дэлгэрхангай;45.2387;104.79835;1472.34;
ДУНДГОВЬ;Хулд;WEATHER;Хулд;45.22571;105.55292;1335.08;
ДУНДГОВЬ;Баянжаргалан;WEATHER;Баянжаргалан;45.75676;108.00037;1240.86;
ДУНДГОВЬ;Луус;WEATHER;Луус;45.51166;105.75199;1442.56;
ДУНДГОВЬ;Өлзийт;WEATHER;Өлзийт;44.93909;106.31996;1244.6;
ГОВЬ-АЛТАЙ;Алтай;WEATHER;Ажбогд;44.61926;94.92364;1443.21;
ГОВЬ-АЛТАЙ;Есөнбулаг;WEATHER;Алтай;46.37642;96.23858;2177.44;
ГОВЬ-АЛТАЙ;Бугат;WEATHER;Бугат;45.5601;94.36175;2143.8;
ГОВЬ-АЛТАЙ;Хөхморьт;WEATHER;Хөхморьт;47.35583;94.52306;1444.7;
ГОВЬ-АЛТАЙ;Тонхил;WEATHER;Тонхил;46.31308;93.9021;2222.5;
ГОВЬ-АЛТАЙ;Цогт;WEATHER;Тоорой;44.92428;96.75364;1181.6;
ГОВЬ-АЛТАЙ;Дэлгэр;WEATHER;Дэлгэр;46.35338;97.36395;1799.6;
ГОВЬ-АЛТАЙ;Шарга;WEATHER;Шарга;46.2709;95.26751;1025.07;
ГОВЬ-АЛТАЙ;Жаргалан;WEATHER;Жаргалан;46.98422;95.92112;1538.59;
ГОВЬ-АЛТАЙ;Дэлгэр;WEATHER;Гуулин;46.56913;97.29348;1836.5;
ГОВЬ-АЛТАЙ;Баян-Уул;WEATHER;Баян-Уул;46.99882;95.20107;1847.0;
ГОВЬ-АЛТАЙ;Чандмань;WEATHER;Чандмань;45.33115;97.98914;2289.65;
ГОВЬ-АЛТАЙ;Дарви;WEATHER;Дарви;46.45811;94.10976;1610.63;
ГОВЬ-АЛТАЙ;Цогт;WEATHER;Цогт;45.35551;96.63587;2329.91;
